"County","pop2021","GrowthRate","popDensity"
"Hennepin County","1281680","11.0458","2314.4123"
"Ramsey County","553219","8.6049","3636.3307"
"Dakota County","436983","9.4617","776.9662"
"Anoka County","363881","9.7889","860.2859"
"Washington County","269522","12.8038","701.1400"
"St Louis County","197840","-1.1482","31.6668"
"Stearns County","163913","8.7273","122.0567"
"Olmsted County","162163","12.1971","248.0709"
"Scott County","152657","16.9732","428.2886"
"Wright County","142505","13.9192","215.4411"
"Carver County","108201","18.3805","305.3714"
"Sherburne County","99800","12.3899","230.5254"
"Blue Earth County","68203","6.4242","91.1997"
"Rice County","67784","5.5119","136.7050"
"Crow Wing County","65577","4.7405","65.6844"
"Clay County","64632","9.2735","61.8268"
"Otter Tail County","58898","2.8104","29.8666"
"Chisago County","57793","7.2147","139.3358"
"Winona County","49982","-2.8249","79.8166"
"Beltrami County","48094","7.9018","19.2015"
"Goodhue County","46422","0.4588","61.3368"
"Itasca County","45288","0.5573","16.9764"
"Kandiyohi County","43777","3.6559","54.9066"
"Isanti County","41888","10.6480","96.1188"
"Benton County","41647","8.2809","102.0005"
"Mower County","39902","1.7597","56.0950"
"Douglas County","38503","6.9855","60.4181"
"Steele County","36471","-0.0712","84.8863"
"McLeod County","36025","-1.5414","73.3004"
"Carlton County","35969","1.5614","41.7574"
"Becker County","34491","5.9599","26.2256"
"Nicollet County","34424","5.0858","76.7300"
"Morrison County","33842","1.7988","30.0798"
"Polk County","31270","-1.1663","15.8643"
"Cass County","30315","5.8041","14.9956"
"Freeborn County","29883","-4.2334","42.2621"
"Pine County","29801","0.2827","21.1161"
"Le Sueur County","29485","6.3251","65.6981"
"Mille Lacs County","26631","2.1206","46.5324"
"Lyon County","25256","-2.2941","35.3449"
"Todd County","24852","-0.1848","26.2979"
"Brown County","24774","-4.1365","40.5415"
"Meeker County","23376","0.2015","38.4360"
"Hubbard County","21891","7.1670","23.6466"
"Wabasha County","21591","-0.3738","41.2877"
"Nobles County","21399","-0.1214","29.9243"
"Dodge County","21268","5.5274","48.4160"
"Fillmore County","21113","1.2031","24.5129"
"Martin County","19505","-6.2485","27.3812"
"Houston County","18656","-1.9396","33.7937"
"Waseca County","18508","-3.3272","43.7173"
"Kanabec County","16519","1.8685","31.6706"
"Aitkin County","15884","-2.0111","8.7191"
"Roseau County","15179","-2.4360","9.0805"
"Redwood County","15006","-6.6733","17.0800"
"Sibley County","14601","-4.2934","24.7988"
"Renville County","14426","-8.0209","14.6769"
"Pennington County","14011","0.3078","22.7241"
"Wadena County","13600","-1.5634","25.3604"
"Faribault County","13487","-6.8577","18.9298"
"Koochiching County","11825","-11.1904","3.8094"
"Chippewa County","11598","-6.8059","19.9580"
"Pope County","11557","5.3126","17.2562"
"Cottonwood County","11070","-5.5058","17.2986"
"Lake County","10703","-1.3912","5.0742"
"Watonwan County","10677","-4.6185","24.5472"
"Stevens County","9911","2.1226","17.5851"
"Jackson County","9748","-5.0920","13.8666"
"Yellow Medicine County","9529","-8.5772","12.5530"
"Marshall County","9242","-2.1078","5.2066"
"Swift County","9152","-6.1718","12.3328"
"Rock County","9143","-5.3324","18.9509"
"Pipestone County","9124","-5.0177","19.6192"
"Clearwater County","8824","1.3670","8.8349"
"Murray County","8074","-7.1634","11.4573"
"Lac qui Parle County","6541","-9.7170","8.5501"
"Norman County","6167","-9.7468","7.0659"
"Wilkin County","6133","-6.9489","8.1666"
"Grant County","5938","-1.0663","10.8397"
"Mahnomen County","5587","2.7022","10.0147"
"Lincoln County","5581","-5.1657","10.3976"
"Cook County","5539","7.3242","3.8140"
"Big Stone County","4993","-5.3101","10.0057"
"Kittson County","4358","-4.2829","3.9661"
"Red Lake County","4181","2.5006","9.6691"
"Lake of the Woods County","3746","-7.1623","2.8863"
"Traverse County","3195","-9.5925","5.5672"
